Recording,Result
0,2
1,1
2,4
3,5
4,5
5,4
6,1
7,3
8,8
9,6
10,6
11,8
12,5
13,5
14,5
15,5
16,1
17,2
18,5
19,1
20,2
21,8
22,5
23,2
24,5
25,2
26,5
27,1
28,8
29,5
30,1
31,3
32,8
33,2
34,2
35,1
36,1
37,2
38,3
39,8
40,2
41,8
42,5
43,6
44,1
45,6
46,3
47,2
48,5
49,5
50,5
51,8
52,1
53,1
54,1
55,1
56,7
57,1
58,5
59,3
60,7
61,1
62,8
63,1
64,5
65,2
66,2
67,7
68,1
69,8
70,5
71,3
72,1
73,8
74,5
75,5
76,8
77,1
78,8
79,5
80,1
81,8
82,8
83,3
84,2
85,8
86,8
87,7
88,1
89,6
90,5
91,1
92,1
93,2
94,5
95,2
96,7
97,8
98,5
99,2
100,3
101,4
102,9
103,2
104,7
105,5
106,2
107,5
108,1
109,2
110,1
111,2
112,2
113,5
114,6
115,2
116,4
117,1
118,5
119,2
120,2
121,2
122,1
123,5
124,8
125,7
126,2
127,2
128,6
129,1
130,2
131,6
132,5
133,5
134,3
135,5
136,5
137,5
138,1
139,5
140,3
141,7
142,2
143,8
144,1
145,5
146,5
147,5
148,5
149,5
150,2
151,5
152,5
153,8
154,1
155,1
156,1
157,8
158,8
159,3
160,2
161,5
162,5
163,3
164,8
165,4
166,5
167,3
168,2
169,6
170,2
171,2
172,2
173,5
174,8
175,7
176,2
177,1
178,8
179,6
180,2
181,1
182,4
183,8
184,6
185,5
186,1
187,5
188,5
189,2
190,9
191,5
192,8
193,3
194,5
195,5
196,2
197,5
198,5
199,2
