Recording,Result
0,3
1,1
2,7
3,5
4,5
5,5
6,1
7,2
8,9
9,2
10,9
11,6
12,5
13,5
14,5
15,5
16,3
17,2
18,5
19,1
20,4
21,8
22,5
23,2
24,1
25,6
26,5
27,3
28,8
29,5
30,1
31,3
32,2
33,6
34,2
35,5
36,2
37,2
38,8
39,1
40,2
41,8
42,7
43,8
44,6
45,5
46,1
47,7
48,5
49,5
50,6
51,1
52,1
53,1
54,1
55,3
56,4
57,1
58,5
59,2
60,3
61,1
62,8
63,1
64,5
65,1
66,8
67,8
68,1
69,6
70,7
71,6
72,1
73,3
74,5
75,5
76,2
77,5
78,8
79,5
80,5
81,5
82,8
83,3
84,8
85,3
86,6
87,6
88,7
89,7
90,2
91,3
92,1
93,2
94,5
95,3
96,8
97,8
98,5
99,2
100,1
101,4
102,9
103,1
104,5
105,1
106,3
107,5
108,1
109,2
110,1
111,2
112,2
113,5
114,5
115,2
116,4
117,2
118,5
119,2
120,5
121,2
122,1
123,5
124,8
125,2
126,2
127,5
128,5
129,1
130,3
131,8
132,5
133,5
134,3
135,1
136,5
137,5
138,1
139,5
140,1
141,8
142,2
143,7
144,9
145,5
146,5
147,5
148,5
149,5
150,2
151,5
152,5
153,1
154,3
155,1
156,2
157,8
158,8
159,3
160,1
161,5
162,5
163,5
164,8
165,4
166,5
167,7
168,2
169,5
170,6
171,3
172,3
173,5
174,8
175,7
176,2
177,1
178,7
179,3
180,2
181,1
182,4
183,8
184,1
185,5
186,1
187,5
188,5
189,2
190,3
191,5
192,8
193,8
194,5
195,5
196,1
197,5
198,5
199,2
